seed,step_idx,timestep,activation,theta_tc_deg,theta_c_deg,d_tc,ClosestK,Delta_theta_act_in,Delta_theta_act_out,Delta_dist_act_in,Delta_dist_act_out,d_act_curr_in,d_act_curr_out,d_act_target_in,d_act_target_out,img_path_in,img_path_out
90300.0,104.0,99.0,1.71,5.67,50.7,4.48,4.0,83.7,121.0,25.6,23.8,22.2,22.2,25.6,25.6,sae_analysis/out/env_imgs/seed90318_step104_timestep0_actionInput.png,sae_analysis/out/env_imgs/seed90318_step104_timestep0_actionOutput.png
87400.0,104.0,99.0,1.65,-1.76,43.2,5.93,0.0,-98.5,123.0,14.9,14.9,18.6,18.5,21.8,21.6,sae_analysis/out/env_imgs/seed87390_step104_timestep0_actionInput.png,sae_analysis/out/env_imgs/seed87390_step104_timestep0_actionOutput.png
90300.0,104.0,98.0,1.52,5.67,50.7,4.48,4.0,79.4,83.7,23.2,25.6,22.4,22.2,25.8,25.6,sae_analysis/out/env_imgs/seed90318_step104_timestep1_actionInput.png,sae_analysis/out/env_imgs/seed90318_step104_timestep1_actionOutput.png
60600.0,112.0,99.0,1.52,-5.1,39.9,4.88,5.0,132.0,113.0,15.3,15.4,19.0,19.5,21.4,21.9,sae_analysis/out/env_imgs/seed60596_step112_timestep0_actionInput.png,sae_analysis/out/env_imgs/seed60596_step112_timestep0_actionOutput.png
86200.0,88.0,99.0,1.51,16.3,61.3,5.78,8.0,-253.0,-47.6,11.6,11.1,15.4,15.7,17.9,18.1,sae_analysis/out/env_imgs/seed86172_step88_timestep0_actionInput.png,sae_analysis/out/env_imgs/seed86172_step88_timestep0_actionOutput.png
90300.0,104.0,96.0,1.5,5.67,50.7,4.48,4.0,105.0,120.0,25.4,23.0,23.6,22.5,26.9,25.8,sae_analysis/out/env_imgs/seed90318_step104_timestep3_actionInput.png,sae_analysis/out/env_imgs/seed90318_step104_timestep3_actionOutput.png
87400.0,104.0,98.0,1.45,-1.76,43.2,5.93,0.0,20.4,-98.5,12.2,14.9,18.9,18.6,22.1,21.8,sae_analysis/out/env_imgs/seed87390_step104_timestep1_actionInput.png,sae_analysis/out/env_imgs/seed87390_step104_timestep1_actionOutput.png
60600.0,112.0,98.0,1.45,-5.1,39.9,4.88,5.0,72.4,132.0,18.0,15.3,19.1,19.0,21.2,21.4,sae_analysis/out/env_imgs/seed60596_step112_timestep1_actionInput.png,sae_analysis/out/env_imgs/seed60596_step112_timestep1_actionOutput.png
30400.0,40.0,99.0,1.44,-5.02,40.0,2.97,0.0,-25.7,50.4,16.6,17.3,18.5,18.5,21.2,21.3,sae_analysis/out/env_imgs/seed30449_step40_timestep0_actionInput.png,sae_analysis/out/env_imgs/seed30449_step40_timestep0_actionOutput.png
90300.0,104.0,97.0,1.43,5.67,50.7,4.48,4.0,120.0,79.4,23.0,23.2,22.5,22.4,25.8,25.8,sae_analysis/out/env_imgs/seed90318_step104_timestep2_actionInput.png,sae_analysis/out/env_imgs/seed90318_step104_timestep2_actionOutput.png
