seed,step_idx,timestep,activation,theta_tc_deg,theta_c_deg,d_tc,ClosestK,Delta_theta_act_in,Delta_theta_act_out,Delta_dist_act_in,Delta_dist_act_out,d_act_curr_in,d_act_curr_out,d_act_target_in,d_act_target_out,img_path_in,img_path_out
78500.0,8.0,76.0,3.92,-26.9,18.1,31.9,1.0,-202.0,-189.0,24.5,28.5,37.4,35.9,28.7,27.3,sae_analysis/out/env_imgs/seed78540_step8_timestep23_actionInput.png,sae_analysis/out/env_imgs/seed78540_step8_timestep23_actionOutput.png
78500.0,8.0,82.0,3.68,-26.9,18.1,31.9,1.0,-212.0,-189.0,22.7,20.9,35.7,34.8,21.8,19.2,sae_analysis/out/env_imgs/seed78540_step8_timestep17_actionInput.png,sae_analysis/out/env_imgs/seed78540_step8_timestep17_actionOutput.png
78500.0,8.0,89.0,3.64,-26.9,18.1,31.9,1.0,-188.0,-195.0,29.0,31.2,37.6,37.1,22.7,21.2,sae_analysis/out/env_imgs/seed78540_step8_timestep10_actionInput.png,sae_analysis/out/env_imgs/seed78540_step8_timestep10_actionOutput.png
78500.0,8.0,67.0,3.62,-26.9,18.1,31.9,1.0,77.6,78.3,46.1,56.3,34.6,34.8,30.5,32.5,sae_analysis/out/env_imgs/seed78540_step8_timestep32_actionInput.png,sae_analysis/out/env_imgs/seed78540_step8_timestep32_actionOutput.png
78500.0,8.0,83.0,3.61,-26.9,18.1,31.9,1.0,-189.0,-125.0,20.9,35.2,34.8,35.3,19.2,20.1,sae_analysis/out/env_imgs/seed78540_step8_timestep16_actionInput.png,sae_analysis/out/env_imgs/seed78540_step8_timestep16_actionOutput.png
78500.0,8.0,88.0,3.59,-26.9,18.1,31.9,1.0,-258.0,-188.0,20.5,29.0,36.9,37.6,22.5,22.7,sae_analysis/out/env_imgs/seed78540_step8_timestep11_actionInput.png,sae_analysis/out/env_imgs/seed78540_step8_timestep11_actionOutput.png
78500.0,8.0,91.0,3.58,-26.9,18.1,31.9,1.0,-181.0,-209.0,38.3,31.6,38.0,37.6,21.7,21.0,sae_analysis/out/env_imgs/seed78540_step8_timestep8_actionInput.png,sae_analysis/out/env_imgs/seed78540_step8_timestep8_actionOutput.png
78500.0,8.0,59.0,3.57,-26.9,18.1,31.9,1.0,58.5,62.0,52.6,62.2,40.0,39.7,31.0,30.3,sae_analysis/out/env_imgs/seed78540_step8_timestep40_actionInput.png,sae_analysis/out/env_imgs/seed78540_step8_timestep40_actionOutput.png
78500.0,8.0,78.0,3.57,-26.9,18.1,31.9,1.0,-191.0,-208.0,29.0,21.2,36.2,36.9,27.1,27.1,sae_analysis/out/env_imgs/seed78540_step8_timestep21_actionInput.png,sae_analysis/out/env_imgs/seed78540_step8_timestep21_actionOutput.png
78500.0,8.0,93.0,3.56,-26.9,18.1,31.9,1.0,-172.0,-163.0,37.0,40.4,35.4,35.0,20.7,20.3,sae_analysis/out/env_imgs/seed78540_step8_timestep6_actionInput.png,sae_analysis/out/env_imgs/seed78540_step8_timestep6_actionOutput.png
78500.0,8.0,97.0,3.56,-26.9,18.1,31.9,1.0,-72.1,-23.7,39.3,40.7,33.4,34.2,18.2,18.2,sae_analysis/out/env_imgs/seed78540_step8_timestep2_actionInput.png,sae_analysis/out/env_imgs/seed78540_step8_timestep2_actionOutput.png
78500.0,8.0,95.0,3.56,-26.9,18.1,31.9,1.0,-162.0,-129.0,38.3,40.4,33.9,33.4,19.9,19.0,sae_analysis/out/env_imgs/seed78540_step8_timestep4_actionInput.png,sae_analysis/out/env_imgs/seed78540_step8_timestep4_actionOutput.png
78500.0,8.0,96.0,3.54,-26.9,18.1,31.9,1.0,-129.0,-72.1,40.4,39.3,33.4,33.4,19.0,18.2,sae_analysis/out/env_imgs/seed78540_step8_timestep3_actionInput.png,sae_analysis/out/env_imgs/seed78540_step8_timestep3_actionOutput.png
78500.0,8.0,94.0,3.53,-26.9,18.1,31.9,1.0,-163.0,-162.0,40.4,38.3,35.0,33.9,20.3,19.9,sae_analysis/out/env_imgs/seed78540_step8_timestep5_actionInput.png,sae_analysis/out/env_imgs/seed78540_step8_timestep5_actionOutput.png
78500.0,8.0,86.0,3.52,-26.9,18.1,31.9,1.0,-183.0,-221.0,24.4,19.1,35.1,36.6,19.9,22.4,sae_analysis/out/env_imgs/seed78540_step8_timestep13_actionInput.png,sae_analysis/out/env_imgs/seed78540_step8_timestep13_actionOutput.png
78500.0,8.0,85.0,3.51,-26.9,18.1,31.9,1.0,-141.0,-183.0,32.7,24.4,35.7,35.1,20.0,19.9,sae_analysis/out/env_imgs/seed78540_step8_timestep14_actionInput.png,sae_analysis/out/env_imgs/seed78540_step8_timestep14_actionOutput.png
78500.0,8.0,80.0,3.48,-26.9,18.1,31.9,1.0,-170.0,-195.0,19.6,15.9,36.3,37.7,25.2,23.8,sae_analysis/out/env_imgs/seed78540_step8_timestep19_actionInput.png,sae_analysis/out/env_imgs/seed78540_step8_timestep19_actionOutput.png
78500.0,8.0,57.0,3.47,-26.9,18.1,31.9,1.0,39.3,76.8,62.4,55.4,48.1,43.7,34.6,34.2,sae_analysis/out/env_imgs/seed78540_step8_timestep42_actionInput.png,sae_analysis/out/env_imgs/seed78540_step8_timestep42_actionOutput.png
78500.0,8.0,66.0,3.46,-26.9,18.1,31.9,1.0,56.1,77.6,50.2,46.1,38.7,34.6,31.0,30.5,sae_analysis/out/env_imgs/seed78540_step8_timestep33_actionInput.png,sae_analysis/out/env_imgs/seed78540_step8_timestep33_actionOutput.png
78500.0,8.0,77.0,3.44,-26.9,18.1,31.9,1.0,-189.0,-191.0,28.5,29.0,35.9,36.2,27.3,27.1,sae_analysis/out/env_imgs/seed78540_step8_timestep22_actionInput.png,sae_analysis/out/env_imgs/seed78540_step8_timestep22_actionOutput.png
