seed,step_idx,timestep,activation,theta_tc_deg,theta_c_deg,d_tc,ClosestK,Delta_theta_act_in,Delta_theta_act_out,Delta_dist_act_in,Delta_dist_act_out,d_act_curr_in,d_act_curr_out,d_act_target_in,d_act_target_out,img_path_in,img_path_out
98400.0,0.0,93.0,0.853,-15.7,29.3,14.6,1.0,36.7,46.6,44.9,44.9,41.2,40.4,29.0,28.2,sae_analysis/out/env_imgs/seed98355_step0_timestep6_actionInput.png,sae_analysis/out/env_imgs/seed98355_step0_timestep6_actionOutput.png
98400.0,0.0,98.0,0.647,-15.7,29.3,14.6,1.0,163.0,173.0,38.1,39.9,40.0,39.4,27.4,26.7,sae_analysis/out/env_imgs/seed98355_step0_timestep1_actionInput.png,sae_analysis/out/env_imgs/seed98355_step0_timestep1_actionOutput.png
98400.0,0.0,89.0,0.514,-15.7,29.3,14.6,1.0,63.4,53.0,42.2,41.5,41.1,40.9,29.5,29.0,sae_analysis/out/env_imgs/seed98355_step0_timestep10_actionInput.png,sae_analysis/out/env_imgs/seed98355_step0_timestep10_actionOutput.png
98400.0,0.0,88.0,0.499,-15.7,29.3,14.6,1.0,50.7,63.4,50.8,42.2,41.7,41.1,30.6,29.5,sae_analysis/out/env_imgs/seed98355_step0_timestep11_actionInput.png,sae_analysis/out/env_imgs/seed98355_step0_timestep11_actionOutput.png
98400.0,0.0,83.0,0.484,-15.7,29.3,14.6,1.0,33.5,67.7,46.7,44.7,44.3,43.6,31.8,31.8,sae_analysis/out/env_imgs/seed98355_step0_timestep16_actionInput.png,sae_analysis/out/env_imgs/seed98355_step0_timestep16_actionOutput.png
98400.0,0.0,59.0,0.431,-15.7,29.3,14.6,1.0,-132.0,-284.0,65.6,53.6,51.7,54.2,42.3,44.3,sae_analysis/out/env_imgs/seed98355_step0_timestep40_actionInput.png,sae_analysis/out/env_imgs/seed98355_step0_timestep40_actionOutput.png
98400.0,0.0,84.0,0.419,-15.7,29.3,14.6,1.0,67.7,80.7,44.7,38.6,43.6,41.6,31.8,29.9,sae_analysis/out/env_imgs/seed98355_step0_timestep15_actionInput.png,sae_analysis/out/env_imgs/seed98355_step0_timestep15_actionOutput.png
98400.0,0.0,91.0,0.417,-15.7,29.3,14.6,1.0,48.8,37.1,42.7,47.7,40.9,41.1,28.9,29.0,sae_analysis/out/env_imgs/seed98355_step0_timestep8_actionInput.png,sae_analysis/out/env_imgs/seed98355_step0_timestep8_actionOutput.png
45400.0,8.0,77.0,0.4,-16.3,28.7,23.5,1.0,-27.3,-7.87,120.0,106.0,47.2,42.3,33.3,29.0,sae_analysis/out/env_imgs/seed45429_step8_timestep22_actionInput.png,sae_analysis/out/env_imgs/seed45429_step8_timestep22_actionOutput.png
98400.0,0.0,87.0,0.381,-15.7,29.3,14.6,1.0,45.8,50.7,45.2,50.8,42.9,41.7,31.6,30.6,sae_analysis/out/env_imgs/seed98355_step0_timestep12_actionInput.png,sae_analysis/out/env_imgs/seed98355_step0_timestep12_actionOutput.png
98400.0,0.0,96.0,0.375,-15.7,29.3,14.6,1.0,93.7,152.0,44.1,39.9,40.2,39.9,27.9,27.5,sae_analysis/out/env_imgs/seed98355_step0_timestep3_actionInput.png,sae_analysis/out/env_imgs/seed98355_step0_timestep3_actionOutput.png
98400.0,0.0,99.0,0.372,-15.7,29.3,14.6,1.0,173.0,174.0,39.9,39.1,39.4,39.4,26.7,26.7,sae_analysis/out/env_imgs/seed98355_step0_timestep0_actionInput.png,sae_analysis/out/env_imgs/seed98355_step0_timestep0_actionOutput.png
98400.0,0.0,94.0,0.369,-15.7,29.3,14.6,1.0,46.6,68.5,44.9,44.6,40.4,39.6,28.2,27.3,sae_analysis/out/env_imgs/seed98355_step0_timestep5_actionInput.png,sae_analysis/out/env_imgs/seed98355_step0_timestep5_actionOutput.png
50800.0,32.0,99.0,0.357,11.0,56.0,11.3,1.0,219.0,212.0,14.9,16.1,24.3,24.2,33.4,33.2,sae_analysis/out/env_imgs/seed50788_step32_timestep0_actionInput.png,sae_analysis/out/env_imgs/seed50788_step32_timestep0_actionOutput.png
98400.0,0.0,86.0,0.357,-15.7,29.3,14.6,1.0,52.4,45.8,44.9,45.2,41.6,42.9,30.0,31.6,sae_analysis/out/env_imgs/seed98355_step0_timestep13_actionInput.png,sae_analysis/out/env_imgs/seed98355_step0_timestep13_actionOutput.png
98400.0,0.0,82.0,0.357,-15.7,29.3,14.6,1.0,48.6,33.5,40.1,46.7,47.3,44.3,34.8,31.8,sae_analysis/out/env_imgs/seed98355_step0_timestep17_actionInput.png,sae_analysis/out/env_imgs/seed98355_step0_timestep17_actionOutput.png
98400.0,0.0,77.0,0.338,-15.7,29.3,14.6,1.0,55.1,59.4,45.2,40.6,47.4,45.7,35.1,34.2,sae_analysis/out/env_imgs/seed98355_step0_timestep22_actionInput.png,sae_analysis/out/env_imgs/seed98355_step0_timestep22_actionOutput.png
98400.0,0.0,75.0,0.337,-15.7,29.3,14.6,1.0,74.8,40.8,65.5,49.2,48.2,46.8,37.1,35.1,sae_analysis/out/env_imgs/seed98355_step0_timestep24_actionInput.png,sae_analysis/out/env_imgs/seed98355_step0_timestep24_actionOutput.png
