seed,step_idx,timestep,activation,theta_tc_deg,theta_c_deg,d_tc,ClosestK,Delta_theta_act_in,Delta_theta_act_out,Delta_dist_act_in,Delta_dist_act_out,d_act_curr_in,d_act_curr_out,d_act_target_in,d_act_target_out,img_path_in,img_path_out
52800.0,8.0,99.0,3.58,-200.0,-155.0,19.0,4.0,-7.75,-7.08,30.0,31.3,26.0,26.2,15.1,15.4,sae_analysis/out/env_imgs/seed52752_step8_timestep0_actionInput.png,sae_analysis/out/env_imgs/seed52752_step8_timestep0_actionOutput.png
52800.0,8.0,98.0,3.48,-200.0,-155.0,19.0,4.0,239.0,-7.75,30.0,30.0,26.3,26.0,15.7,15.1,sae_analysis/out/env_imgs/seed52752_step8_timestep1_actionInput.png,sae_analysis/out/env_imgs/seed52752_step8_timestep1_actionOutput.png
60600.0,72.0,99.0,3.2,-20.1,24.9,4.23,0.0,-68.5,-95.8,28.0,25.7,29.2,29.1,32.8,32.7,sae_analysis/out/env_imgs/seed60596_step72_timestep0_actionInput.png,sae_analysis/out/env_imgs/seed60596_step72_timestep0_actionOutput.png
52800.0,8.0,97.0,3.16,-200.0,-155.0,19.0,4.0,-3.56,239.0,31.4,30.0,27.0,26.3,17.1,15.7,sae_analysis/out/env_imgs/seed52752_step8_timestep2_actionInput.png,sae_analysis/out/env_imgs/seed52752_step8_timestep2_actionOutput.png
52800.0,8.0,96.0,3.15,-200.0,-155.0,19.0,4.0,143.0,-3.56,33.7,31.4,27.0,27.0,17.2,17.1,sae_analysis/out/env_imgs/seed52752_step8_timestep3_actionInput.png,sae_analysis/out/env_imgs/seed52752_step8_timestep3_actionOutput.png
11400.0,168.0,99.0,2.92,-19.7,25.3,6.13,0.0,303.0,226.0,21.1,21.4,24.1,24.2,29.9,30.0,sae_analysis/out/env_imgs/seed11446_step168_timestep0_actionInput.png,sae_analysis/out/env_imgs/seed11446_step168_timestep0_actionOutput.png
60600.0,72.0,98.0,2.92,-20.1,24.9,4.23,0.0,-32.2,-68.5,29.6,28.0,29.6,29.2,33.2,32.8,sae_analysis/out/env_imgs/seed60596_step72_timestep1_actionInput.png,sae_analysis/out/env_imgs/seed60596_step72_timestep1_actionOutput.png
11400.0,168.0,97.0,2.9,-19.7,25.3,6.13,0.0,74.7,55.6,25.1,22.2,23.6,23.4,29.4,29.3,sae_analysis/out/env_imgs/seed11446_step168_timestep2_actionInput.png,sae_analysis/out/env_imgs/seed11446_step168_timestep2_actionOutput.png
52800.0,8.0,93.0,2.89,-200.0,-155.0,19.0,4.0,121.0,121.0,37.1,36.3,29.4,28.1,20.4,19.0,sae_analysis/out/env_imgs/seed52752_step8_timestep6_actionInput.png,sae_analysis/out/env_imgs/seed52752_step8_timestep6_actionOutput.png
84100.0,96.0,99.0,2.87,5.51,50.5,4.54,4.0,-69.2,-87.4,22.0,24.0,23.1,22.6,27.1,26.7,sae_analysis/out/env_imgs/seed84098_step96_timestep0_actionInput.png,sae_analysis/out/env_imgs/seed84098_step96_timestep0_actionOutput.png
60600.0,72.0,96.0,2.84,-20.1,24.9,4.23,0.0,26.1,-13.7,35.4,35.7,29.8,30.1,33.1,33.5,sae_analysis/out/env_imgs/seed60596_step72_timestep3_actionInput.png,sae_analysis/out/env_imgs/seed60596_step72_timestep3_actionOutput.png
52800.0,8.0,94.0,2.82,-200.0,-155.0,19.0,4.0,121.0,78.2,36.3,31.3,28.1,28.6,19.0,19.0,sae_analysis/out/env_imgs/seed52752_step8_timestep5_actionInput.png,sae_analysis/out/env_imgs/seed52752_step8_timestep5_actionOutput.png
47100.0,136.0,97.0,2.81,5.31,50.3,6.39,4.0,60.8,-236.0,3.92,2.34,26.5,24.7,32.9,31.1,sae_analysis/out/env_imgs/seed47106_step136_timestep2_actionInput.png,sae_analysis/out/env_imgs/seed47106_step136_timestep2_actionOutput.png
