seed,step_idx,timestep,activation,theta_tc_deg,theta_c_deg,d_tc,ClosestK,Delta_theta_act_in,Delta_theta_act_out,Delta_dist_act_in,Delta_dist_act_out,d_act_curr_in,d_act_curr_out,d_act_target_in,d_act_target_out,img_path_in,img_path_out
33500.0,0.0,92.0,1.23,-87.2,-42.2,32.5,4.0,244.0,318.0,18.4,16.0,56.3,54.9,37.3,36.6,sae_analysis/out/env_imgs/seed33539_step0_timestep7_actionInput.png,sae_analysis/out/env_imgs/seed33539_step0_timestep7_actionOutput.png
44600.0,32.0,81.0,0.928,9.84,54.8,5.3,1.0,225.0,182.0,20.2,22.4,17.1,15.4,19.3,18.3,sae_analysis/out/env_imgs/seed44578_step32_timestep18_actionInput.png,sae_analysis/out/env_imgs/seed44578_step32_timestep18_actionOutput.png
40000.0,152.0,91.0,0.925,16.1,61.1,3.8,1.0,32.8,-13.8,14.8,8.41,12.3,13.6,13.8,15.3,sae_analysis/out/env_imgs/seed40021_step152_timestep8_actionInput.png,sae_analysis/out/env_imgs/seed40021_step152_timestep8_actionOutput.png
10300.0,144.0,85.0,0.913,27.1,72.1,27.8,1.0,-220.0,93.5,5.1,12.1,16.2,16.2,41.6,41.4,sae_analysis/out/env_imgs/seed10301_step144_timestep14_actionInput.png,sae_analysis/out/env_imgs/seed10301_step144_timestep14_actionOutput.png
27200.0,152.0,62.0,0.899,7.68,52.7,4.46,1.0,151.0,143.0,37.8,36.1,45.8,45.2,44.7,44.3,sae_analysis/out/env_imgs/seed27240_step152_timestep37_actionInput.png,sae_analysis/out/env_imgs/seed27240_step152_timestep37_actionOutput.png
10300.0,144.0,89.0,0.897,27.1,72.1,27.8,1.0,-154.0,-50.8,14.9,13.2,15.6,15.9,40.8,41.6,sae_analysis/out/env_imgs/seed10301_step144_timestep10_actionInput.png,sae_analysis/out/env_imgs/seed10301_step144_timestep10_actionOutput.png
40000.0,152.0,68.0,0.891,16.1,61.1,3.8,1.0,153.0,-201.0,42.3,44.8,30.1,28.1,31.0,28.9,sae_analysis/out/env_imgs/seed40021_step152_timestep31_actionInput.png,sae_analysis/out/env_imgs/seed40021_step152_timestep31_actionOutput.png
90300.0,48.0,94.0,0.882,8.27,53.3,4.14,1.0,-213.0,11.5,6.22,4.13,13.2,12.4,16.6,15.9,sae_analysis/out/env_imgs/seed90283_step48_timestep5_actionInput.png,sae_analysis/out/env_imgs/seed90283_step48_timestep5_actionOutput.png
27200.0,144.0,71.0,0.878,4.97,50.0,3.91,8.0,211.0,227.0,26.2,37.6,37.3,36.6,35.8,35.6,sae_analysis/out/env_imgs/seed27240_step144_timestep28_actionInput.png,sae_analysis/out/env_imgs/seed27240_step144_timestep28_actionOutput.png
10300.0,144.0,96.0,0.871,27.1,72.1,27.8,1.0,-280.0,-305.0,20.6,24.9,14.9,15.1,41.8,41.9,sae_analysis/out/env_imgs/seed10301_step144_timestep3_actionInput.png,sae_analysis/out/env_imgs/seed10301_step144_timestep3_actionOutput.png
