seed,step_idx,timestep,activation,theta_tc_deg,theta_c_deg,d_tc,ClosestK,Delta_theta_act_in,Delta_theta_act_out,Delta_dist_act_in,Delta_dist_act_out,d_act_curr_in,d_act_curr_out,d_act_target_in,d_act_target_out,img_path_in,img_path_out
87400.0,8.0,99.0,1.35,93.0,138.0,18.8,1.0,-140.0,-145.0,31.7,30.7,36.8,37.0,22.0,22.3,sae_analysis/out/env_imgs/seed87380_step8_timestep0_actionInput.png,sae_analysis/out/env_imgs/seed87380_step8_timestep0_actionOutput.png
87400.0,0.0,56.0,1.32,93.0,138.0,18.8,1.0,-137.0,-113.0,51.2,53.1,51.6,50.6,44.2,43.9,sae_analysis/out/env_imgs/seed87380_step0_timestep43_actionInput.png,sae_analysis/out/env_imgs/seed87380_step0_timestep43_actionOutput.png
87400.0,0.0,72.0,1.3,93.0,138.0,18.8,1.0,81.8,75.2,33.6,45.4,47.7,48.2,36.6,36.8,sae_analysis/out/env_imgs/seed87380_step0_timestep27_actionInput.png,sae_analysis/out/env_imgs/seed87380_step0_timestep27_actionOutput.png
87400.0,0.0,80.0,1.26,93.0,138.0,18.8,1.0,-53.4,-46.2,37.5,29.0,46.3,45.8,34.9,35.0,sae_analysis/out/env_imgs/seed87380_step0_timestep19_actionInput.png,sae_analysis/out/env_imgs/seed87380_step0_timestep19_actionOutput.png
78500.0,64.0,15.0,1.26,6.62,51.6,32.0,4.0,-50.2,-58.8,18.5,47.2,55.6,52.6,44.6,46.5,sae_analysis/out/env_imgs/seed78540_step64_timestep84_actionInput.png,sae_analysis/out/env_imgs/seed78540_step64_timestep84_actionOutput.png
84000.0,72.0,27.0,1.19,20.1,65.1,24.1,4.0,210.0,280.0,54.8,40.9,51.8,54.1,54.0,55.0,sae_analysis/out/env_imgs/seed84003_step72_timestep72_actionInput.png,sae_analysis/out/env_imgs/seed84003_step72_timestep72_actionOutput.png
25400.0,32.0,99.0,1.18,-153.0,-108.0,30.0,7.0,97.1,126.0,9.26,10.1,7.27,7.48,36.2,36.4,sae_analysis/out/env_imgs/seed25426_step32_timestep0_actionInput.png,sae_analysis/out/env_imgs/seed25426_step32_timestep0_actionOutput.png
87400.0,8.0,66.0,1.17,93.0,138.0,18.8,1.0,186.0,182.0,71.8,68.8,39.2,39.4,31.6,31.0,sae_analysis/out/env_imgs/seed87380_step8_timestep33_actionInput.png,sae_analysis/out/env_imgs/seed87380_step8_timestep33_actionOutput.png
87400.0,0.0,63.0,1.15,93.0,138.0,18.8,1.0,9.85,-61.0,5.47,20.8,51.0,51.2,41.5,42.4,sae_analysis/out/env_imgs/seed87380_step0_timestep36_actionInput.png,sae_analysis/out/env_imgs/seed87380_step0_timestep36_actionOutput.png
30600.0,64.0,25.0,1.15,7.04,52.0,22.9,7.0,50.3,55.1,23.3,44.3,63.1,65.6,62.5,65.2,sae_analysis/out/env_imgs/seed30608_step64_timestep74_actionInput.png,sae_analysis/out/env_imgs/seed30608_step64_timestep74_actionOutput.png
