seed,step_idx,timestep,activation,theta_tc_deg,theta_c_deg,d_tc,ClosestK,Delta_theta_act_in,Delta_theta_act_out,Delta_dist_act_in,Delta_dist_act_out,d_act_curr_in,d_act_curr_out,d_act_target_in,d_act_target_out,img_path_in,img_path_out
30600.0,80.0,97.0,2.12,7.11,52.1,22.9,4.0,-116.0,-158.0,11.8,12.4,25.3,26.0,48.0,48.7,sae_analysis/out/env_imgs/seed30608_step80_timestep2_actionInput.png,sae_analysis/out/env_imgs/seed30608_step80_timestep2_actionOutput.png
30600.0,80.0,73.0,1.92,7.11,52.1,22.9,4.0,-88.0,-120.0,52.8,52.5,41.2,43.3,62.7,64.8,sae_analysis/out/env_imgs/seed30608_step80_timestep26_actionInput.png,sae_analysis/out/env_imgs/seed30608_step80_timestep26_actionOutput.png
78500.0,88.0,93.0,1.9,-3.42,41.6,29.3,4.0,-158.0,-115.0,12.0,13.8,30.5,28.3,58.3,56.0,sae_analysis/out/env_imgs/seed78540_step88_timestep6_actionInput.png,sae_analysis/out/env_imgs/seed78540_step88_timestep6_actionOutput.png
78500.0,88.0,85.0,1.89,-3.42,41.6,29.3,4.0,-163.0,-130.0,34.7,30.5,33.4,31.8,60.0,58.7,sae_analysis/out/env_imgs/seed78540_step88_timestep14_actionInput.png,sae_analysis/out/env_imgs/seed78540_step88_timestep14_actionOutput.png
30600.0,80.0,98.0,1.81,7.11,52.1,22.9,4.0,-158.0,-138.0,12.4,11.0,26.0,25.4,48.7,48.1,sae_analysis/out/env_imgs/seed30608_step80_timestep1_actionInput.png,sae_analysis/out/env_imgs/seed30608_step80_timestep1_actionOutput.png
78500.0,56.0,96.0,1.75,3.33,48.3,32.3,4.0,76.0,37.4,12.8,13.9,19.3,19.7,51.2,51.7,sae_analysis/out/env_imgs/seed78540_step56_timestep3_actionInput.png,sae_analysis/out/env_imgs/seed78540_step56_timestep3_actionOutput.png
47600.0,112.0,95.0,1.75,-8.75,36.3,15.7,4.0,71.8,164.0,16.7,15.7,29.5,27.5,44.4,42.5,sae_analysis/out/env_imgs/seed47567_step112_timestep4_actionInput.png,sae_analysis/out/env_imgs/seed47567_step112_timestep4_actionOutput.png
78500.0,56.0,92.0,1.7,3.33,48.3,32.3,4.0,50.2,71.7,20.1,20.2,18.7,19.2,50.4,50.9,sae_analysis/out/env_imgs/seed78540_step56_timestep7_actionInput.png,sae_analysis/out/env_imgs/seed78540_step56_timestep7_actionOutput.png
30600.0,80.0,93.0,1.69,7.11,52.1,22.9,4.0,45.4,86.0,27.5,18.0,28.3,26.7,50.8,49.3,sae_analysis/out/env_imgs/seed30608_step80_timestep6_actionInput.png,sae_analysis/out/env_imgs/seed30608_step80_timestep6_actionOutput.png
30600.0,80.0,78.0,1.67,7.11,52.1,22.9,4.0,-32.8,-171.0,50.4,45.6,43.5,40.3,65.9,62.5,sae_analysis/out/env_imgs/seed30608_step80_timestep21_actionInput.png,sae_analysis/out/env_imgs/seed30608_step80_timestep21_actionOutput.png
30600.0,80.0,61.0,1.64,7.11,52.1,22.9,4.0,-221.0,-254.0,17.2,7.09,40.6,38.4,62.6,60.7,sae_analysis/out/env_imgs/seed30608_step80_timestep38_actionInput.png,sae_analysis/out/env_imgs/seed30608_step80_timestep38_actionOutput.png
30600.0,80.0,99.0,1.63,7.11,52.1,22.9,4.0,-138.0,-173.0,11.0,11.5,25.4,25.8,48.1,48.5,sae_analysis/out/env_imgs/seed30608_step80_timestep0_actionInput.png,sae_analysis/out/env_imgs/seed30608_step80_timestep0_actionOutput.png
78500.0,88.0,97.0,1.62,-3.42,41.6,29.3,4.0,-130.0,-135.0,7.52,6.87,26.2,26.1,54.7,54.6,sae_analysis/out/env_imgs/seed78540_step88_timestep2_actionInput.png,sae_analysis/out/env_imgs/seed78540_step88_timestep2_actionOutput.png
47600.0,152.0,81.0,1.61,-11.8,33.2,15.6,5.0,-22.1,-2.4,35.6,36.7,31.0,29.0,45.1,42.2,sae_analysis/out/env_imgs/seed47567_step152_timestep18_actionInput.png,sae_analysis/out/env_imgs/seed47567_step152_timestep18_actionOutput.png
