seed,step_idx,timestep,activation,theta_tc_deg,theta_c_deg,d_tc,ClosestK,Delta_theta_act_in,Delta_theta_act_out,Delta_dist_act_in,Delta_dist_act_out,d_act_curr_in,d_act_curr_out,d_act_target_in,d_act_target_out,img_path_in,img_path_out
37500.0,0.0,98.0,3.91,-18.6,26.4,24.4,0.0,-63.2,-54.1,29.5,31.9,35.4,35.7,38.1,38.3,sae_analysis/out/env_imgs/seed37540_step0_timestep1_actionInput.png,sae_analysis/out/env_imgs/seed37540_step0_timestep1_actionOutput.png
37500.0,0.0,97.0,3.89,-18.6,26.4,24.4,0.0,-58.1,-63.2,30.9,29.5,35.5,35.4,37.8,38.1,sae_analysis/out/env_imgs/seed37540_step0_timestep2_actionInput.png,sae_analysis/out/env_imgs/seed37540_step0_timestep2_actionOutput.png
37500.0,0.0,99.0,3.75,-18.6,26.4,24.4,0.0,-54.1,-60.3,31.9,30.4,35.7,35.5,38.3,38.1,sae_analysis/out/env_imgs/seed37540_step0_timestep0_actionInput.png,sae_analysis/out/env_imgs/seed37540_step0_timestep0_actionOutput.png
47100.0,0.0,96.0,3.67,-10.7,34.3,32.0,4.0,20.3,-140.0,36.8,34.7,38.6,38.3,21.8,20.9,sae_analysis/out/env_imgs/seed47106_step0_timestep3_actionInput.png,sae_analysis/out/env_imgs/seed47106_step0_timestep3_actionOutput.png
37500.0,0.0,91.0,3.66,-18.6,26.4,24.4,0.0,-8.59,19.5,32.5,29.4,38.6,37.1,37.9,36.7,sae_analysis/out/env_imgs/seed37540_step0_timestep8_actionInput.png,sae_analysis/out/env_imgs/seed37540_step0_timestep8_actionOutput.png
37500.0,0.0,92.0,3.61,-18.6,26.4,24.4,0.0,19.5,9.21,29.4,35.1,37.1,38.1,36.7,37.9,sae_analysis/out/env_imgs/seed37540_step0_timestep7_actionInput.png,sae_analysis/out/env_imgs/seed37540_step0_timestep7_actionOutput.png
87400.0,0.0,86.0,3.46,93.0,138.0,18.8,1.0,-114.0,-120.0,22.1,23.4,41.8,44.1,31.7,33.6,sae_analysis/out/env_imgs/seed87380_step0_timestep13_actionInput.png,sae_analysis/out/env_imgs/seed87380_step0_timestep13_actionOutput.png
37500.0,0.0,96.0,3.41,-18.6,26.4,24.4,0.0,-60.1,-58.1,34.2,30.9,36.2,35.5,38.5,37.8,sae_analysis/out/env_imgs/seed37540_step0_timestep3_actionInput.png,sae_analysis/out/env_imgs/seed37540_step0_timestep3_actionOutput.png
47100.0,0.0,94.0,3.36,-10.7,34.3,32.0,4.0,-106.0,-68.2,41.5,40.4,39.6,39.6,23.2,22.7,sae_analysis/out/env_imgs/seed47106_step0_timestep5_actionInput.png,sae_analysis/out/env_imgs/seed47106_step0_timestep5_actionOutput.png
47100.0,0.0,97.0,3.29,-10.7,34.3,32.0,4.0,-140.0,-108.0,34.7,33.9,38.3,38.9,20.9,21.3,sae_analysis/out/env_imgs/seed47106_step0_timestep2_actionInput.png,sae_analysis/out/env_imgs/seed47106_step0_timestep2_actionOutput.png
37500.0,0.0,93.0,3.28,-18.6,26.4,24.4,0.0,9.21,-33.8,35.1,37.4,38.1,37.7,37.9,38.8,sae_analysis/out/env_imgs/seed37540_step0_timestep6_actionInput.png,sae_analysis/out/env_imgs/seed37540_step0_timestep6_actionOutput.png
47100.0,0.0,95.0,3.23,-10.7,34.3,32.0,4.0,-68.2,20.3,40.4,36.8,39.6,38.6,22.7,21.8,sae_analysis/out/env_imgs/seed47106_step0_timestep4_actionInput.png,sae_analysis/out/env_imgs/seed47106_step0_timestep4_actionOutput.png
37500.0,0.0,90.0,3.22,-18.6,26.4,24.4,0.0,-17.0,-8.59,25.9,32.5,37.2,38.6,37.0,37.9,sae_analysis/out/env_imgs/seed37540_step0_timestep9_actionInput.png,sae_analysis/out/env_imgs/seed37540_step0_timestep9_actionOutput.png
87400.0,0.0,60.0,3.21,93.0,138.0,18.8,1.0,-162.0,-313.0,23.0,21.5,46.8,47.2,37.9,39.0,sae_analysis/out/env_imgs/seed87380_step0_timestep39_actionInput.png,sae_analysis/out/env_imgs/seed87380_step0_timestep39_actionOutput.png
87400.0,0.0,93.0,3.18,93.0,138.0,18.8,1.0,177.0,236.0,25.8,30.2,43.7,44.8,34.0,36.0,sae_analysis/out/env_imgs/seed87380_step0_timestep6_actionInput.png,sae_analysis/out/env_imgs/seed87380_step0_timestep6_actionOutput.png
87400.0,0.0,87.0,3.17,93.0,138.0,18.8,1.0,-120.0,179.0,23.4,22.6,44.1,44.1,33.6,34.1,sae_analysis/out/env_imgs/seed87380_step0_timestep12_actionInput.png,sae_analysis/out/env_imgs/seed87380_step0_timestep12_actionOutput.png
87400.0,0.0,91.0,3.17,93.0,138.0,18.8,1.0,123.0,143.0,20.6,18.6,42.4,41.3,33.7,31.2,sae_analysis/out/env_imgs/seed87380_step0_timestep8_actionInput.png,sae_analysis/out/env_imgs/seed87380_step0_timestep8_actionOutput.png
