seed,step_idx,timestep,activation,theta_tc_deg,theta_c_deg,d_tc,ClosestK,Delta_theta_act_in,Delta_theta_act_out,Delta_dist_act_in,Delta_dist_act_out,d_act_curr_in,d_act_curr_out,d_act_target_in,d_act_target_out,img_path_in,img_path_out
33500.0,112.0,70.0,1.93,3.6,48.6,10.1,5.0,-35.6,-20.1,98.9,95.1,24.4,22.8,28.8,26.0,sae_analysis/out/env_imgs/seed33539_step112_timestep29_actionInput.png,sae_analysis/out/env_imgs/seed33539_step112_timestep29_actionOutput.png
95800.0,16.0,73.0,1.88,-194.0,-149.0,22.9,0.0,-58.5,-82.9,65.6,59.3,25.8,26.2,41.1,40.9,sae_analysis/out/env_imgs/seed95830_step16_timestep26_actionInput.png,sae_analysis/out/env_imgs/seed95830_step16_timestep26_actionOutput.png
40000.0,160.0,91.0,1.84,9.35,54.4,1.8,1.0,-286.0,-286.0,34.4,33.1,21.4,20.8,20.0,19.4,sae_analysis/out/env_imgs/seed40021_step160_timestep8_actionInput.png,sae_analysis/out/env_imgs/seed40021_step160_timestep8_actionOutput.png
33000.0,56.0,69.0,1.81,-11.1,33.9,10.1,6.0,59.7,71.1,36.6,37.6,16.3,16.7,21.7,21.9,sae_analysis/out/env_imgs/seed32990_step56_timestep30_actionInput.png,sae_analysis/out/env_imgs/seed32990_step56_timestep30_actionOutput.png
70800.0,32.0,75.0,1.69,96.5,142.0,17.1,2.0,1.87,28.0,28.5,30.9,16.5,15.4,26.1,24.3,sae_analysis/out/env_imgs/seed70799_step32_timestep24_actionInput.png,sae_analysis/out/env_imgs/seed70799_step32_timestep24_actionOutput.png
86200.0,80.0,68.0,1.67,16.3,61.3,5.78,1.0,148.0,165.0,29.6,27.7,28.6,27.2,26.6,25.2,sae_analysis/out/env_imgs/seed86172_step80_timestep31_actionInput.png,sae_analysis/out/env_imgs/seed86172_step80_timestep31_actionOutput.png
33000.0,56.0,89.0,1.66,-11.1,33.9,10.1,6.0,253.0,311.0,20.2,28.2,18.4,18.7,21.2,21.6,sae_analysis/out/env_imgs/seed32990_step56_timestep10_actionInput.png,sae_analysis/out/env_imgs/seed32990_step56_timestep10_actionOutput.png
40000.0,160.0,94.0,1.65,9.35,54.4,1.8,1.0,-328.0,70.6,32.8,34.5,21.5,21.8,20.2,20.5,sae_analysis/out/env_imgs/seed40021_step160_timestep5_actionInput.png,sae_analysis/out/env_imgs/seed40021_step160_timestep5_actionOutput.png
95800.0,72.0,52.0,1.64,0.657,45.7,8.36,5.0,143.0,-192.0,28.0,24.8,38.5,39.1,41.6,41.1,sae_analysis/out/env_imgs/seed95830_step72_timestep47_actionInput.png,sae_analysis/out/env_imgs/seed95830_step72_timestep47_actionOutput.png
49400.0,48.0,84.0,1.64,-155.0,-110.0,17.2,1.0,-38.9,-41.4,54.5,57.8,23.7,22.8,37.1,36.8,sae_analysis/out/env_imgs/seed49442_step48_timestep15_actionInput.png,sae_analysis/out/env_imgs/seed49442_step48_timestep15_actionOutput.png
