seed,step_idx,timestep,activation,theta_tc_deg,theta_c_deg,d_tc,ClosestK,Delta_theta_act_in,Delta_theta_act_out,Delta_dist_act_in,Delta_dist_act_out,d_act_curr_in,d_act_curr_out,d_act_target_in,d_act_target_out,img_path_in,img_path_out
23200.0,112.0,85.0,1.68,51.8,96.8,4.56,2.0,94.0,71.7,34.8,33.6,16.7,18.8,17.8,19.7,sae_analysis/out/env_imgs/seed23167_step112_timestep14_actionInput.png,sae_analysis/out/env_imgs/seed23167_step112_timestep14_actionOutput.png
41500.0,64.0,97.0,1.64,-9.83,35.2,3.58,7.0,194.0,153.0,6.03,4.83,10.6,10.2,10.6,10.2,sae_analysis/out/env_imgs/seed41517_step64_timestep2_actionInput.png,sae_analysis/out/env_imgs/seed41517_step64_timestep2_actionOutput.png
41500.0,72.0,95.0,1.56,-2.74,42.3,1.91,7.0,134.0,102.0,25.6,20.8,19.2,19.2,17.6,17.6,sae_analysis/out/env_imgs/seed41517_step72_timestep4_actionInput.png,sae_analysis/out/env_imgs/seed41517_step72_timestep4_actionOutput.png
23200.0,104.0,79.0,1.51,52.1,97.1,4.68,8.0,-73.9,-90.6,17.2,17.7,21.3,23.0,23.5,25.6,sae_analysis/out/env_imgs/seed23167_step104_timestep20_actionInput.png,sae_analysis/out/env_imgs/seed23167_step104_timestep20_actionOutput.png
41500.0,64.0,74.0,1.48,-9.83,35.2,3.58,7.0,237.0,241.0,54.0,57.1,20.1,22.0,20.5,22.6,sae_analysis/out/env_imgs/seed41517_step64_timestep25_actionInput.png,sae_analysis/out/env_imgs/seed41517_step64_timestep25_actionOutput.png
41500.0,64.0,87.0,1.47,-9.83,35.2,3.58,7.0,17.0,29.3,24.6,30.9,14.1,15.0,14.7,15.5,sae_analysis/out/env_imgs/seed41517_step64_timestep12_actionInput.png,sae_analysis/out/env_imgs/seed41517_step64_timestep12_actionOutput.png
23200.0,112.0,69.0,1.45,51.8,96.8,4.56,2.0,-311.0,-317.0,42.5,36.0,27.4,24.6,27.9,24.5,sae_analysis/out/env_imgs/seed23167_step112_timestep30_actionInput.png,sae_analysis/out/env_imgs/seed23167_step112_timestep30_actionOutput.png
23200.0,104.0,78.0,1.45,52.1,97.1,4.68,8.0,-43.2,-73.9,15.3,17.2,19.9,21.3,22.2,23.5,sae_analysis/out/env_imgs/seed23167_step104_timestep21_actionInput.png,sae_analysis/out/env_imgs/seed23167_step104_timestep21_actionOutput.png
41500.0,64.0,77.0,1.44,-9.83,35.2,3.58,7.0,233.0,205.0,51.0,40.8,21.0,19.4,22.0,20.2,sae_analysis/out/env_imgs/seed41517_step64_timestep22_actionInput.png,sae_analysis/out/env_imgs/seed41517_step64_timestep22_actionOutput.png
29100.0,32.0,69.0,1.44,56.9,102.0,6.91,8.0,167.0,181.0,10.6,1.63,25.4,23.5,24.2,21.0,sae_analysis/out/env_imgs/seed29142_step32_timestep30_actionInput.png,sae_analysis/out/env_imgs/seed29142_step32_timestep30_actionOutput.png
