seed,step_idx,timestep,activation,theta_tc_deg,theta_c_deg,d_tc,ClosestK,Delta_theta_act_in,Delta_theta_act_out,Delta_dist_act_in,Delta_dist_act_out,d_act_curr_in,d_act_curr_out,d_act_target_in,d_act_target_out,img_path_in,img_path_out
23200.0,176.0,90.0,6.99,51.6,96.6,11.3,5.0,183.0,227.0,8.02,2.91,13.3,12.5,8.39,7.32,sae_analysis/out/env_imgs/seed23167_step176_timestep9_actionInput.png,sae_analysis/out/env_imgs/seed23167_step176_timestep9_actionOutput.png
23200.0,176.0,93.0,6.93,51.6,96.6,11.3,5.0,190.0,253.0,10.4,4.26,11.7,12.1,6.49,5.49,sae_analysis/out/env_imgs/seed23167_step176_timestep6_actionInput.png,sae_analysis/out/env_imgs/seed23167_step176_timestep6_actionOutput.png
23200.0,176.0,94.0,6.92,51.6,96.6,11.3,5.0,253.0,247.0,4.26,2.7,12.1,12.0,5.49,4.96,sae_analysis/out/env_imgs/seed23167_step176_timestep5_actionInput.png,sae_analysis/out/env_imgs/seed23167_step176_timestep5_actionOutput.png
23200.0,176.0,98.0,6.87,51.6,96.6,11.3,5.0,224.0,167.0,4.27,6.46,11.3,11.5,3.3,2.94,sae_analysis/out/env_imgs/seed23167_step176_timestep1_actionInput.png,sae_analysis/out/env_imgs/seed23167_step176_timestep1_actionOutput.png
23200.0,176.0,99.0,6.83,51.6,96.6,11.3,5.0,167.0,30.7,6.46,5.88,11.5,11.4,2.94,1.98,sae_analysis/out/env_imgs/seed23167_step176_timestep0_actionInput.png,sae_analysis/out/env_imgs/seed23167_step176_timestep0_actionOutput.png
23200.0,176.0,85.0,6.83,51.6,96.6,11.3,5.0,-14.3,35.6,24.8,18.4,17.1,15.8,12.8,13.0,sae_analysis/out/env_imgs/seed23167_step176_timestep14_actionInput.png,sae_analysis/out/env_imgs/seed23167_step176_timestep14_actionOutput.png
23200.0,184.0,92.0,6.78,53.0,98.0,11.6,5.0,-116.0,218.0,11.1,12.2,14.3,13.8,8.17,6.82,sae_analysis/out/env_imgs/seed23167_step184_timestep7_actionInput.png,sae_analysis/out/env_imgs/seed23167_step184_timestep7_actionOutput.png
23200.0,168.0,97.0,6.71,37.8,82.8,8.11,2.0,-89.4,-69.7,14.5,14.7,12.8,13.6,7.83,8.42,sae_analysis/out/env_imgs/seed23167_step168_timestep2_actionInput.png,sae_analysis/out/env_imgs/seed23167_step168_timestep2_actionOutput.png
23200.0,176.0,91.0,6.65,51.6,96.6,11.3,5.0,227.0,219.0,2.91,3.65,12.5,11.0,7.32,6.46,sae_analysis/out/env_imgs/seed23167_step176_timestep8_actionInput.png,sae_analysis/out/env_imgs/seed23167_step176_timestep8_actionOutput.png
23200.0,168.0,95.0,6.65,37.8,82.8,8.11,2.0,-44.1,-48.5,8.9,16.1,12.9,13.4,7.63,8.22,sae_analysis/out/env_imgs/seed23167_step168_timestep4_actionInput.png,sae_analysis/out/env_imgs/seed23167_step168_timestep4_actionOutput.png
23200.0,176.0,87.0,6.61,51.6,96.6,11.3,5.0,-39.7,113.0,18.0,8.38,16.5,16.3,12.6,11.2,sae_analysis/out/env_imgs/seed23167_step176_timestep12_actionInput.png,sae_analysis/out/env_imgs/seed23167_step176_timestep12_actionOutput.png
23200.0,168.0,96.0,6.61,37.8,82.8,8.11,2.0,-48.5,-89.4,16.1,14.5,13.4,12.8,8.22,7.83,sae_analysis/out/env_imgs/seed23167_step168_timestep3_actionInput.png,sae_analysis/out/env_imgs/seed23167_step168_timestep3_actionOutput.png
23200.0,176.0,86.0,6.55,51.6,96.6,11.3,5.0,35.6,-39.7,18.4,18.0,15.8,16.5,13.0,12.6,sae_analysis/out/env_imgs/seed23167_step176_timestep13_actionInput.png,sae_analysis/out/env_imgs/seed23167_step176_timestep13_actionOutput.png
23200.0,168.0,98.0,6.51,37.8,82.8,8.11,2.0,-69.7,-48.8,14.7,16.2,13.6,12.9,8.42,7.71,sae_analysis/out/env_imgs/seed23167_step168_timestep1_actionInput.png,sae_analysis/out/env_imgs/seed23167_step168_timestep1_actionOutput.png
23200.0,176.0,96.0,6.51,51.6,96.6,11.3,5.0,208.0,173.0,7.66,7.79,11.1,12.2,4.5,3.92,sae_analysis/out/env_imgs/seed23167_step176_timestep3_actionInput.png,sae_analysis/out/env_imgs/seed23167_step176_timestep3_actionOutput.png
23200.0,168.0,94.0,6.5,37.8,82.8,8.11,2.0,-114.0,-44.1,13.2,8.9,11.9,12.9,6.86,7.63,sae_analysis/out/env_imgs/seed23167_step168_timestep5_actionInput.png,sae_analysis/out/env_imgs/seed23167_step168_timestep5_actionOutput.png
23200.0,168.0,88.0,6.48,37.8,82.8,8.11,2.0,-102.0,-134.0,12.3,11.0,13.8,12.0,11.3,9.76,sae_analysis/out/env_imgs/seed23167_step168_timestep11_actionInput.png,sae_analysis/out/env_imgs/seed23167_step168_timestep11_actionOutput.png
23200.0,176.0,89.0,6.48,51.6,96.6,11.3,5.0,-155.0,183.0,9.2,8.02,15.4,13.3,9.36,8.39,sae_analysis/out/env_imgs/seed23167_step176_timestep10_actionInput.png,sae_analysis/out/env_imgs/seed23167_step176_timestep10_actionOutput.png
23200.0,184.0,86.0,6.47,53.0,98.0,11.6,5.0,-69.5,-40.1,3.92,11.9,17.8,17.9,11.1,12.1,sae_analysis/out/env_imgs/seed23167_step184_timestep13_actionInput.png,sae_analysis/out/env_imgs/seed23167_step184_timestep13_actionOutput.png
23200.0,176.0,97.0,6.44,51.6,96.6,11.3,5.0,173.0,224.0,7.79,4.27,12.2,11.3,3.92,3.3,sae_analysis/out/env_imgs/seed23167_step176_timestep2_actionInput.png,sae_analysis/out/env_imgs/seed23167_step176_timestep2_actionOutput.png
