seed,step_idx,timestep,activation,theta_tc_deg,theta_c_deg,d_tc,ClosestK,Delta_theta_act_in,Delta_theta_act_out,Delta_dist_act_in,Delta_dist_act_out,d_act_curr_in,d_act_curr_out,d_act_target_in,d_act_target_out,img_path_in,img_path_out
47600.0,0.0,81.0,1.7,-166.0,-121.0,22.7,1.0,178.0,176.0,26.4,33.2,38.2,38.7,27.2,27.6,sae_analysis/out/env_imgs/seed47567_step0_timestep18_actionInput.png,sae_analysis/out/env_imgs/seed47567_step0_timestep18_actionOutput.png
84000.0,0.0,60.0,1.51,-200.0,-155.0,9.88,1.0,82.5,96.2,44.9,32.2,41.0,43.4,37.3,38.7,sae_analysis/out/env_imgs/seed84003_step0_timestep39_actionInput.png,sae_analysis/out/env_imgs/seed84003_step0_timestep39_actionOutput.png
84000.0,0.0,42.0,1.43,-200.0,-155.0,9.88,1.0,157.0,160.0,13.7,20.9,56.1,55.4,53.0,52.6,sae_analysis/out/env_imgs/seed84003_step0_timestep57_actionInput.png,sae_analysis/out/env_imgs/seed84003_step0_timestep57_actionOutput.png
87400.0,8.0,91.0,1.42,93.0,138.0,18.8,1.0,256.0,-8.43,51.5,54.3,35.7,36.0,21.1,21.5,sae_analysis/out/env_imgs/seed87380_step8_timestep8_actionInput.png,sae_analysis/out/env_imgs/seed87380_step8_timestep8_actionOutput.png
84000.0,0.0,67.0,1.41,-200.0,-155.0,9.88,1.0,85.6,52.6,14.6,24.0,43.9,42.3,39.4,37.5,sae_analysis/out/env_imgs/seed84003_step0_timestep32_actionInput.png,sae_analysis/out/env_imgs/seed84003_step0_timestep32_actionOutput.png
87400.0,16.0,79.0,1.41,93.0,138.0,18.8,4.0,308.0,288.0,21.7,21.7,29.8,30.2,24.5,25.2,sae_analysis/out/env_imgs/seed87380_step16_timestep20_actionInput.png,sae_analysis/out/env_imgs/seed87380_step16_timestep20_actionOutput.png
84000.0,0.0,53.0,1.36,-200.0,-155.0,9.88,1.0,106.0,99.7,42.6,38.5,49.6,46.9,45.4,41.9,sae_analysis/out/env_imgs/seed84003_step0_timestep46_actionInput.png,sae_analysis/out/env_imgs/seed84003_step0_timestep46_actionOutput.png
90300.0,136.0,97.0,1.36,35.6,80.6,13.5,1.0,5.52,-47.1,33.9,32.1,20.7,21.6,32.1,33.3,sae_analysis/out/env_imgs/seed90283_step136_timestep2_actionInput.png,sae_analysis/out/env_imgs/seed90283_step136_timestep2_actionOutput.png
87400.0,0.0,82.0,1.32,93.0,138.0,18.8,1.0,97.8,16.2,27.1,23.6,45.0,44.1,34.6,34.2,sae_analysis/out/env_imgs/seed87380_step0_timestep17_actionInput.png,sae_analysis/out/env_imgs/seed87380_step0_timestep17_actionOutput.png
87400.0,0.0,71.0,1.32,93.0,138.0,18.8,1.0,57.8,81.8,36.1,33.6,49.7,47.7,37.8,36.6,sae_analysis/out/env_imgs/seed87380_step0_timestep28_actionInput.png,sae_analysis/out/env_imgs/seed87380_step0_timestep28_actionOutput.png
87400.0,8.0,79.0,1.31,93.0,138.0,18.8,1.0,230.0,245.0,80.7,84.8,35.8,36.6,27.6,25.6,sae_analysis/out/env_imgs/seed87380_step8_timestep20_actionInput.png,sae_analysis/out/env_imgs/seed87380_step8_timestep20_actionOutput.png
84000.0,0.0,46.0,1.3,-200.0,-155.0,9.88,1.0,147.0,128.0,44.5,56.7,56.6,53.4,53.9,50.5,sae_analysis/out/env_imgs/seed84003_step0_timestep53_actionInput.png,sae_analysis/out/env_imgs/seed84003_step0_timestep53_actionOutput.png
87400.0,16.0,63.0,1.3,93.0,138.0,18.8,4.0,-65.3,-48.6,47.0,51.3,43.2,43.3,36.5,36.8,sae_analysis/out/env_imgs/seed87380_step16_timestep36_actionInput.png,sae_analysis/out/env_imgs/seed87380_step16_timestep36_actionOutput.png
84000.0,0.0,78.0,1.28,-200.0,-155.0,9.88,1.0,22.3,42.5,21.2,23.1,43.7,46.7,39.7,42.3,sae_analysis/out/env_imgs/seed84003_step0_timestep21_actionInput.png,sae_analysis/out/env_imgs/seed84003_step0_timestep21_actionOutput.png
84000.0,0.0,56.0,1.28,-200.0,-155.0,9.88,1.0,78.5,76.2,44.2,48.8,45.4,45.9,39.8,39.8,sae_analysis/out/env_imgs/seed84003_step0_timestep43_actionInput.png,sae_analysis/out/env_imgs/seed84003_step0_timestep43_actionOutput.png
90300.0,0.0,67.0,1.27,46.5,91.5,17.3,0.0,-71.4,-58.5,64.9,68.3,38.5,37.7,31.8,31.8,sae_analysis/out/env_imgs/seed90283_step0_timestep32_actionInput.png,sae_analysis/out/env_imgs/seed90283_step0_timestep32_actionOutput.png
84000.0,0.0,45.0,1.27,-200.0,-155.0,9.88,1.0,161.0,147.0,36.7,44.5,55.5,56.6,53.1,53.9,sae_analysis/out/env_imgs/seed84003_step0_timestep54_actionInput.png,sae_analysis/out/env_imgs/seed84003_step0_timestep54_actionOutput.png
84000.0,0.0,63.0,1.27,-200.0,-155.0,9.88,1.0,102.0,-146.0,32.2,13.9,46.0,45.0,41.6,41.4,sae_analysis/out/env_imgs/seed84003_step0_timestep36_actionInput.png,sae_analysis/out/env_imgs/seed84003_step0_timestep36_actionOutput.png
