seed,step_idx,timestep,activation,theta_tc_deg,theta_c_deg,d_tc,ClosestK,Delta_theta_act_in,Delta_theta_act_out,Delta_dist_act_in,Delta_dist_act_out,d_act_curr_in,d_act_curr_out,d_act_target_in,d_act_target_out,img_path_in,img_path_out
45400.0,0.0,97.0,1.13,-16.3,28.7,23.5,1.0,-108.0,255.0,22.5,24.1,48.6,49.3,32.9,33.3,sae_analysis/out/env_imgs/seed45429_step0_timestep2_actionInput.png,sae_analysis/out/env_imgs/seed45429_step0_timestep2_actionOutput.png
60600.0,80.0,93.0,1.12,-20.1,24.9,4.23,4.0,-178.0,-218.0,11.4,10.6,20.2,21.1,23.1,24.0,sae_analysis/out/env_imgs/seed60596_step80_timestep6_actionInput.png,sae_analysis/out/env_imgs/seed60596_step80_timestep6_actionOutput.png
25400.0,184.0,92.0,1.07,-106.0,-61.2,37.7,4.0,63.9,79.4,6.65,4.21,15.8,14.3,47.5,46.0,sae_analysis/out/env_imgs/seed25426_step184_timestep7_actionInput.png,sae_analysis/out/env_imgs/seed25426_step184_timestep7_actionOutput.png
84100.0,104.0,85.0,1.04,5.51,50.5,4.54,6.0,212.0,178.0,23.2,22.7,21.5,20.5,22.2,21.0,sae_analysis/out/env_imgs/seed84098_step104_timestep14_actionInput.png,sae_analysis/out/env_imgs/seed84098_step104_timestep14_actionOutput.png
44600.0,72.0,92.0,1.01,6.06,51.1,2.36,1.0,0.606,-0.628,18.5,6.94,18.8,17.5,19.2,17.8,sae_analysis/out/env_imgs/seed44578_step72_timestep7_actionInput.png,sae_analysis/out/env_imgs/seed44578_step72_timestep7_actionOutput.png
84100.0,104.0,87.0,1.01,5.51,50.5,4.54,6.0,181.0,203.0,10.5,9.17,18.1,18.3,19.5,19.7,sae_analysis/out/env_imgs/seed84098_step104_timestep12_actionInput.png,sae_analysis/out/env_imgs/seed84098_step104_timestep12_actionOutput.png
41500.0,104.0,44.0,0.992,0.831,45.8,1.84,8.0,-135.0,124.0,70.4,82.5,47.5,46.9,48.0,47.2,sae_analysis/out/env_imgs/seed41517_step104_timestep55_actionInput.png,sae_analysis/out/env_imgs/seed41517_step104_timestep55_actionOutput.png
13800.0,72.0,94.0,0.979,49.4,94.4,35.5,8.0,58.3,81.3,9.81,10.3,10.6,9.26,40.8,40.0,sae_analysis/out/env_imgs/seed13783_step72_timestep5_actionInput.png,sae_analysis/out/env_imgs/seed13783_step72_timestep5_actionOutput.png
11400.0,88.0,93.0,0.978,-118.0,-72.6,22.6,4.0,-27.8,-72.1,23.3,16.5,21.2,22.1,34.2,35.0,sae_analysis/out/env_imgs/seed11446_step88_timestep6_actionInput.png,sae_analysis/out/env_imgs/seed11446_step88_timestep6_actionOutput.png
13800.0,32.0,86.0,0.976,34.4,79.4,40.9,1.0,-95.6,-53.7,19.8,17.2,15.4,14.3,52.5,51.7,sae_analysis/out/env_imgs/seed13783_step32_timestep13_actionInput.png,sae_analysis/out/env_imgs/seed13783_step32_timestep13_actionOutput.png
11400.0,88.0,95.0,0.972,-118.0,-72.6,22.6,4.0,-126.0,113.0,12.6,9.72,22.5,22.6,35.8,36.9,sae_analysis/out/env_imgs/seed11446_step88_timestep4_actionInput.png,sae_analysis/out/env_imgs/seed11446_step88_timestep4_actionOutput.png
25400.0,192.0,93.0,0.97,-100.0,-55.2,35.1,4.0,-13.2,24.3,3.35,5.1,17.7,17.7,47.0,47.1,sae_analysis/out/env_imgs/seed25426_step192_timestep6_actionInput.png,sae_analysis/out/env_imgs/seed25426_step192_timestep6_actionOutput.png
11400.0,80.0,93.0,0.952,-118.0,-72.6,22.6,7.0,232.0,185.0,12.4,15.6,18.3,17.8,26.6,27.1,sae_analysis/out/env_imgs/seed11446_step80_timestep6_actionInput.png,sae_analysis/out/env_imgs/seed11446_step80_timestep6_actionOutput.png
44600.0,128.0,82.0,0.948,-2.18,42.8,5.2,6.0,-334.0,-261.0,6.55,2.07,20.0,19.8,21.5,21.9,sae_analysis/out/env_imgs/seed44578_step128_timestep17_actionInput.png,sae_analysis/out/env_imgs/seed44578_step128_timestep17_actionOutput.png
44600.0,72.0,90.0,0.943,6.06,51.1,2.36,1.0,-5.55,14.2,22.3,19.0,20.1,19.5,20.4,20.0,sae_analysis/out/env_imgs/seed44578_step72_timestep9_actionInput.png,sae_analysis/out/env_imgs/seed44578_step72_timestep9_actionOutput.png
25400.0,120.0,77.0,0.942,-105.0,-60.4,40.3,6.0,-60.0,-74.5,49.8,51.0,21.9,19.9,43.8,42.7,sae_analysis/out/env_imgs/seed25426_step120_timestep22_actionInput.png,sae_analysis/out/env_imgs/seed25426_step120_timestep22_actionOutput.png
40000.0,80.0,83.0,0.938,23.9,68.9,32.2,1.0,-122.0,-110.0,16.9,20.9,12.7,13.3,41.9,41.8,sae_analysis/out/env_imgs/seed40021_step80_timestep16_actionInput.png,sae_analysis/out/env_imgs/seed40021_step80_timestep16_actionOutput.png
27200.0,160.0,69.0,0.934,7.68,52.7,4.46,1.0,126.0,52.3,24.4,27.8,27.8,26.6,27.5,26.5,sae_analysis/out/env_imgs/seed27240_step160_timestep30_actionInput.png,sae_analysis/out/env_imgs/seed27240_step160_timestep30_actionOutput.png
11400.0,8.0,88.0,0.932,-116.0,-71.4,32.7,4.0,-81.9,-108.0,12.8,14.7,18.0,16.3,49.2,47.4,sae_analysis/out/env_imgs/seed11446_step8_timestep11_actionInput.png,sae_analysis/out/env_imgs/seed11446_step8_timestep11_actionOutput.png
40000.0,64.0,92.0,0.931,-2.3,42.7,30.0,1.0,2.32,-12.5,24.7,22.6,15.3,16.1,43.1,43.9,sae_analysis/out/env_imgs/seed40021_step64_timestep7_actionInput.png,sae_analysis/out/env_imgs/seed40021_step64_timestep7_actionOutput.png
