seed,step_idx,timestep,activation,theta_tc_deg,theta_c_deg,d_tc,ClosestK,Delta_theta_act_in,Delta_theta_act_out,Delta_dist_act_in,Delta_dist_act_out,d_act_curr_in,d_act_curr_out,d_act_target_in,d_act_target_out,img_path_in,img_path_out
30600.0,144.0,92.0,3.18,7.22,52.2,4.05,7.0,171.0,-157.0,14.5,11.1,17.4,16.7,20.1,19.5,sae_analysis/out/env_imgs/seed30608_step144_timestep7_actionInput.png,sae_analysis/out/env_imgs/seed30608_step144_timestep7_actionOutput.png
30600.0,144.0,79.0,3.16,7.22,52.2,4.05,7.0,-88.1,-76.9,16.8,6.4,22.1,21.8,25.1,24.5,sae_analysis/out/env_imgs/seed30608_step144_timestep20_actionInput.png,sae_analysis/out/env_imgs/seed30608_step144_timestep20_actionOutput.png
30600.0,144.0,90.0,3.1,7.22,52.2,4.05,7.0,-152.0,-178.0,14.1,17.6,18.7,17.2,21.0,19.2,sae_analysis/out/env_imgs/seed30608_step144_timestep9_actionInput.png,sae_analysis/out/env_imgs/seed30608_step144_timestep9_actionOutput.png
30600.0,144.0,87.0,3.09,7.22,52.2,4.05,7.0,-130.0,-117.0,17.3,18.7,18.9,18.9,20.9,20.8,sae_analysis/out/env_imgs/seed30608_step144_timestep12_actionInput.png,sae_analysis/out/env_imgs/seed30608_step144_timestep12_actionOutput.png
30600.0,144.0,98.0,3.07,7.22,52.2,4.05,7.0,-240.0,63.6,8.35,7.55,16.1,16.6,19.5,20.0,sae_analysis/out/env_imgs/seed30608_step144_timestep1_actionInput.png,sae_analysis/out/env_imgs/seed30608_step144_timestep1_actionOutput.png
30600.0,144.0,94.0,3.06,7.22,52.2,4.05,7.0,-159.0,-191.0,9.1,7.65,16.2,16.9,19.3,20.1,sae_analysis/out/env_imgs/seed30608_step144_timestep5_actionInput.png,sae_analysis/out/env_imgs/seed30608_step144_timestep5_actionOutput.png
30600.0,144.0,74.0,3.05,7.22,52.2,4.05,7.0,-111.0,238.0,12.8,10.3,25.4,25.8,27.8,28.4,sae_analysis/out/env_imgs/seed30608_step144_timestep25_actionInput.png,sae_analysis/out/env_imgs/seed30608_step144_timestep25_actionOutput.png
30600.0,144.0,86.0,3.04,7.22,52.2,4.05,7.0,-109.0,-130.0,16.6,17.3,19.8,18.9,21.8,20.9,sae_analysis/out/env_imgs/seed30608_step144_timestep13_actionInput.png,sae_analysis/out/env_imgs/seed30608_step144_timestep13_actionOutput.png
30600.0,144.0,69.0,3.04,7.22,52.2,4.05,7.0,-78.9,-80.7,53.4,50.9,26.5,28.7,28.3,30.8,sae_analysis/out/env_imgs/seed30608_step144_timestep30_actionInput.png,sae_analysis/out/env_imgs/seed30608_step144_timestep30_actionOutput.png
30600.0,144.0,84.0,3.04,7.22,52.2,4.05,7.0,-212.0,-173.0,18.6,16.5,20.2,19.3,21.7,21.5,sae_analysis/out/env_imgs/seed30608_step144_timestep15_actionInput.png,sae_analysis/out/env_imgs/seed30608_step144_timestep15_actionOutput.png
