seed,step_idx,timestep,activation,theta_tc_deg,theta_c_deg,d_tc,ClosestK,Delta_theta_act_in,Delta_theta_act_out,Delta_dist_act_in,Delta_dist_act_out,d_act_curr_in,d_act_curr_out,d_act_target_in,d_act_target_out,img_path_in,img_path_out
45400.0,32.0,98.0,2.9,-16.3,28.7,23.5,2.0,-116.0,-85.0,13.5,14.2,19.3,18.8,40.3,39.8,sae_analysis/out/env_imgs/seed45429_step32_timestep1_actionInput.png,sae_analysis/out/env_imgs/seed45429_step32_timestep1_actionOutput.png
45400.0,32.0,99.0,2.85,-16.3,28.7,23.5,2.0,-85.0,-60.1,14.2,12.9,18.8,18.8,39.8,39.7,sae_analysis/out/env_imgs/seed45429_step32_timestep0_actionInput.png,sae_analysis/out/env_imgs/seed45429_step32_timestep0_actionOutput.png
45400.0,32.0,94.0,2.77,-16.3,28.7,23.5,2.0,-128.0,-51.7,9.47,14.7,21.0,21.5,41.0,41.8,sae_analysis/out/env_imgs/seed45429_step32_timestep5_actionInput.png,sae_analysis/out/env_imgs/seed45429_step32_timestep5_actionOutput.png
86200.0,24.0,99.0,2.65,98.2,143.0,19.4,0.0,-97.9,-62.7,19.3,18.3,24.2,24.7,40.0,40.5,sae_analysis/out/env_imgs/seed86172_step24_timestep0_actionInput.png,sae_analysis/out/env_imgs/seed86172_step24_timestep0_actionOutput.png
84100.0,64.0,96.0,2.61,6.28,51.3,12.2,5.0,-93.5,-110.0,32.9,29.0,26.0,26.2,34.2,34.4,sae_analysis/out/env_imgs/seed84098_step64_timestep3_actionInput.png,sae_analysis/out/env_imgs/seed84098_step64_timestep3_actionOutput.png
84100.0,64.0,99.0,2.61,6.28,51.3,12.2,5.0,-97.4,-135.0,28.5,27.0,25.7,26.0,34.1,34.5,sae_analysis/out/env_imgs/seed84098_step64_timestep0_actionInput.png,sae_analysis/out/env_imgs/seed84098_step64_timestep0_actionOutput.png
45400.0,32.0,95.0,2.59,-16.3,28.7,23.5,2.0,-51.7,23.1,14.7,13.0,21.5,20.0,41.8,40.6,sae_analysis/out/env_imgs/seed45429_step32_timestep4_actionInput.png,sae_analysis/out/env_imgs/seed45429_step32_timestep4_actionOutput.png
87400.0,8.0,97.0,2.59,-6.32,38.7,11.1,2.0,-251.0,-32.3,16.2,16.7,23.2,23.1,30.4,30.1,sae_analysis/out/env_imgs/seed87390_step8_timestep2_actionInput.png,sae_analysis/out/env_imgs/seed87390_step8_timestep2_actionOutput.png
86200.0,32.0,99.0,2.57,98.2,143.0,19.4,4.0,-158.0,-132.0,16.3,16.2,16.3,15.5,35.0,34.2,sae_analysis/out/env_imgs/seed86172_step32_timestep0_actionInput.png,sae_analysis/out/env_imgs/seed86172_step32_timestep0_actionOutput.png
30600.0,16.0,99.0,2.48,2.38,47.4,23.1,2.0,-62.6,-83.3,15.5,16.4,18.5,18.5,41.2,41.2,sae_analysis/out/env_imgs/seed30636_step16_timestep0_actionInput.png,sae_analysis/out/env_imgs/seed30636_step16_timestep0_actionOutput.png
87400.0,8.0,96.0,2.48,-6.32,38.7,11.1,2.0,155.0,-251.0,19.4,16.2,22.7,23.2,29.4,30.4,sae_analysis/out/env_imgs/seed87390_step8_timestep3_actionInput.png,sae_analysis/out/env_imgs/seed87390_step8_timestep3_actionOutput.png
45400.0,32.0,93.0,2.45,-16.3,28.7,23.5,2.0,140.0,-128.0,7.98,9.47,22.2,21.0,42.1,41.0,sae_analysis/out/env_imgs/seed45429_step32_timestep6_actionInput.png,sae_analysis/out/env_imgs/seed45429_step32_timestep6_actionOutput.png
45400.0,32.0,97.0,2.44,-16.3,28.7,23.5,2.0,-27.9,-116.0,14.4,13.5,19.2,19.3,39.8,40.3,sae_analysis/out/env_imgs/seed45429_step32_timestep2_actionInput.png,sae_analysis/out/env_imgs/seed45429_step32_timestep2_actionOutput.png
23200.0,48.0,99.0,2.43,132.0,177.0,23.2,4.0,-22.8,-106.0,16.9,17.7,21.0,21.0,26.8,26.8,sae_analysis/out/env_imgs/seed23167_step48_timestep0_actionInput.png,sae_analysis/out/env_imgs/seed23167_step48_timestep0_actionOutput.png
87400.0,8.0,95.0,2.42,-6.32,38.7,11.1,2.0,-174.0,155.0,19.8,19.4,24.3,22.7,30.8,29.4,sae_analysis/out/env_imgs/seed87390_step8_timestep4_actionInput.png,sae_analysis/out/env_imgs/seed87390_step8_timestep4_actionOutput.png
87400.0,8.0,98.0,2.35,-6.32,38.7,11.1,2.0,-32.3,-132.0,16.7,15.6,23.1,21.7,30.1,28.9,sae_analysis/out/env_imgs/seed87390_step8_timestep1_actionInput.png,sae_analysis/out/env_imgs/seed87390_step8_timestep1_actionOutput.png
87400.0,8.0,99.0,2.35,-6.32,38.7,11.1,2.0,-132.0,-82.4,15.6,16.8,21.7,21.9,28.9,29.2,sae_analysis/out/env_imgs/seed87390_step8_timestep0_actionInput.png,sae_analysis/out/env_imgs/seed87390_step8_timestep0_actionOutput.png
84100.0,64.0,97.0,2.34,6.28,51.3,12.2,5.0,-110.0,-81.5,29.0,27.9,26.2,25.9,34.4,34.4,sae_analysis/out/env_imgs/seed84098_step64_timestep2_actionInput.png,sae_analysis/out/env_imgs/seed84098_step64_timestep2_actionOutput.png
86200.0,24.0,96.0,2.33,98.2,143.0,19.4,0.0,-205.0,-57.1,17.2,23.5,24.8,23.2,40.7,39.0,sae_analysis/out/env_imgs/seed86172_step24_timestep3_actionInput.png,sae_analysis/out/env_imgs/seed86172_step24_timestep3_actionOutput.png
86200.0,24.0,95.0,2.33,98.2,143.0,19.4,0.0,-267.0,-205.0,14.8,17.2,25.2,24.8,41.1,40.7,sae_analysis/out/env_imgs/seed86172_step24_timestep4_actionInput.png,sae_analysis/out/env_imgs/seed86172_step24_timestep4_actionOutput.png
